Frame,Time (t),Distance (d),Max Curvature (Z),Min Curvature (Z)
95,9.5,1.44,-0.23823366266661714,-4.451880868174152
96,9.600000000000001,1.392,-0.23718751157955062,-4.562173675365573
97,9.700000000000001,1.3439999999999999,-0.23616003246184555,-4.5436126924478835
98,9.8,1.2959999999999998,-0.23515653140529028,-4.402647102861542
99,9.9,1.2479999999999998,-0.23417865336188165,-4.510441429342491
100,10.0,1.1999999999999997,-0.23314032689312453,-4.585622760444101
101,10.100000000000001,1.1519999999999997,-0.23207419255765635,-4.533272166761659
102,10.200000000000001,1.1040000000000003,-0.23103115979348485,-4.633167589596596
103,10.3,1.0560000000000003,-0.2308492977802593,-4.779678803428268
104,10.4,1.0080000000000002,-0.2317770889200238,-4.77050216130318
105,10.5,0.9600000000000002,-0.23364744335923207,-4.720673230385698
106,10.600000000000001,0.9120000000000001,-0.23612750114341322,-4.839782132005005
107,10.700000000000001,0.8640000000000001,-0.2387778442290924,-4.830616572492305
108,10.8,0.8160000000000001,-0.24003944492132256,-4.696822459958845
109,10.9,0.768,-0.2389558641606164,-4.8319519812714145
110,11.0,0.72,-0.2378900595285564,-4.927319920899248
111,11.100000000000001,0.6719999999999999,-0.23684382643440172,-4.9007701986586
112,11.200000000000001,0.6239999999999999,-0.23581585658737836,-5.084424442194543
113,11.3,0.5759999999999998,-0.2348125547055312,-5.272513658306203
114,11.4,0.5279999999999998,-0.23383687385295407,-5.304819689150238
115,11.5,0.47999999999999976,-0.2328896893356106,-5.386772514921039
116,11.600000000000001,0.4319999999999997,-0.23189022725111666,-5.543582979303462
117,11.700000000000001,0.3839999999999997,-0.230841604715709,-5.573845539172692
118,11.8,0.3360000000000003,-0.23079521290866414,-5.626998841563144
119,11.9,0.28800000000000026,-0.23183370962858157,-5.855073610767565
120,12.0,0.2400000000000002,-0.23377438153219932,-6.034847292531433
121,12.100000000000001,0.19200000000000017,-0.23627828979737847,-6.387614395972463
122,12.200000000000001,0.14400000000000013,-0.23890964374370244,-6.8039687361686045
123,12.3,0.09600000000000009,-0.239920898922996,-7.162303981945078
124,12.4,0.04800000000000004,-0.2388425030655184,-7.366840699903953
125,12.5,0.5,-0.23783437741173255,-5.196211767442975
126,12.600000000000001,0.5,-0.2367994553447773,-5.236938268491918
127,12.700000000000001,0.5,-0.23578338037587665,-5.271780575011091
128,12.8,0.5,-0.23479239025379478,-5.2947141356709135
129,12.9,0.5,-0.233829392655027,-5.301773529488443
130,13.0,0.5,-0.23289497360293693,-5.29173812314005
131,13.100000000000001,0.5,-0.2319000008573877,-5.266343129552174
132,13.200000000000001,0.5,-0.23085912389356558,-5.229979573822437
133,13.3,0.5,-0.23080185916392876,-5.18893504508904
134,13.4,0.5,-0.23182290228471744,-5.150306515247825
135,13.5,0.5,-0.23374570562446173,-5.120773208037518
136,13.600000000000001,0.5,-0.2362377990175999,-5.105441700576449
137,13.700000000000001,0.5,-0.23886827687650058,-5.106962949787015
138,13.8,0.5,-0.23996354394202973,-5.12507391786059
139,13.9,0.5,-0.23888963385123044,-5.156643053884274
140,14.0,0.5,-0.23783437741173255,-5.196211767442975
141,14.100000000000001,0.5,-0.23679945534477734,-5.236938268491918
142,14.200000000000001,0.5,-0.23578338037587665,-5.271780575011091
143,14.3,0.5,-0.23479239025379478,-5.2947141356709135
144,14.4,0.5,-0.233829392655027,-5.301773529488443
145,14.5,0.5,-0.23289497360293693,-5.29173812314005
146,14.600000000000001,0.5,-0.2319000008573877,-5.266343129552174
147,14.700000000000001,0.5,-0.23085912389356558,-5.229979573822437
148,14.8,0.5,-0.23080185916392876,-5.18893504508904
149,14.9,0.5,-0.2318229022847174,-5.150306515247825
150,15.0,0.5,-0.2337457056244617,-5.120773208037518
151,15.100000000000001,0.5,-0.2362377990175999,-5.105441700576449
152,15.200000000000001,0.5,-0.23886827687650056,-5.106962949787015
153,15.3,0.5,-0.23996354394202973,-5.12507391786059
154,15.4,0.5,-0.23888963385123044,-5.156643053884274
155,15.5,0.5,-0.23783437741173255,-5.196211767442975
156,15.600000000000001,0.5,-0.23679945534477734,-5.236938268491919
157,15.700000000000001,0.5,-0.23578338037587665,-5.271780575011091
158,15.8,0.5,-0.23479239025379478,-5.2947141356709135
159,15.9,0.5,-0.23382939265502703,-5.301773529488443
160,16.0,0.5,-0.23289497360293693,-5.29173812314005
161,16.1,0.5,-0.2319000008573877,-5.266343129552174
162,16.2,0.5,-0.23085912389356558,-5.229979573822439
163,16.3,0.5,-0.23080185916392876,-5.188935045089041
164,16.400000000000002,0.5,-0.23182290228471747,-5.150306515247825
165,16.5,0.5,-0.2337457056244617,-5.120773208037518
166,16.6,0.5,-0.23623779901759986,-5.105441700576449
167,16.7,0.5,-0.23886827687650053,-5.106962949787015
168,16.8,0.5,-0.23996354394202973,-5.12507391786059
169,16.900000000000002,0.5,-0.23888963385123044,-5.156643053884274
170,17.0,0.5,-0.23783437741173255,-5.196211767442975
171,17.1,0.5,-0.23679945534477734,-5.236938268491919
172,17.2,0.5,-0.23578338037587668,-5.271780575011091
173,17.3,0.5,-0.23479239025379478,-5.2947141356709135
174,17.400000000000002,0.5,-0.23382939265502697,-5.301773529488443
175,17.5,0.5,-0.23289497360293693,-5.29173812314005
176,17.6,0.5,-0.2319000008573877,-5.266343129552174
177,17.7,0.5,-0.23085912389356558,-5.229979573822437
178,17.8,0.5,-0.23080185916392876,-5.18893504508904
179,17.900000000000002,0.5,-0.23182290228471747,-5.150306515247825
180,18.0,0.5,-0.2337457056244617,-5.120773208037518
181,18.1,0.5,-0.2362377990175999,-5.105441700576449
182,18.2,0.5,-0.23886827687650053,-5.106962949787014
183,18.3,0.5,-0.23996354394202973,-5.125073917860589
184,18.400000000000002,0.5,-0.23888963385123044,-5.156643053884275
185,18.5,0.5,-0.23783437741173255,-5.196211767442975
186,18.6,0.5,-0.2367994553447773,-5.236938268491918
187,18.7,0.5,-0.23578338037587668,-5.271780575011091
188,18.8,0.5,-0.23479239025379478,-5.2947141356709135
189,18.900000000000002,0.5,-0.23382939265502697,-5.301773529488443
190,19.0,0.5,-0.23289497360293693,-5.29173812314005
191,19.1,0.5,-0.2319000008573877,-5.266343129552174
192,19.200000000000003,0.5,-0.23085912389356558,-5.229979573822437
193,19.3,0.5,-0.23080185916392876,-5.188935045089039
194,19.400000000000002,0.5,-0.23182290228471744,-5.150306515247825
195,19.5,0.5,-0.2337457056244617,-5.120773208037518
196,19.6,0.5,-0.2362377990175999,-5.105441700576449
197,19.700000000000003,0.5,-0.2388682768765006,-5.106962949787015
198,19.8,0.5,-0.23996354394202973,-5.12507391786059
199,19.900000000000002,0.5,-0.23888963385123044,-5.156643053884274
200,20.0,0.5,-0.23783437741173255,-5.196211767442975
201,20.1,0.5,-0.2367994553447773,-5.236938268491917
202,20.200000000000003,0.5,-0.23578338037587665,-5.271780575011093
203,20.3,0.5,-0.23479239025379478,-5.2947141356709135
204,20.400000000000002,0.5,-0.23382939265502697,-5.301773529488443
205,20.5,0.5,-0.23289497360293693,-5.29173812314005
206,20.6,0.5,-0.2319000008573877,-5.266343129552174
207,20.700000000000003,0.5,-0.23085912389356558,-5.229979573822436
208,20.8,0.5,-0.23080185916392876,-5.188935045089041
209,20.900000000000002,0.5,-0.23182290228471747,-5.1503065152478245
210,21.0,0.5,-0.2337457056244617,-5.120773208037518
211,21.1,0.5,-0.2362377990175999,-5.105441700576449
212,21.200000000000003,0.5,-0.2388682768765006,-5.106962949787015
213,21.3,0.5,-0.23996354394202973,-5.125073917860588
214,21.400000000000002,0.5,-0.23888963385123044,-5.156643053884274
215,21.5,0.5,-0.23783437741173255,-5.196211767442975
216,21.6,0.5,-0.23679945534477734,-5.236938268491918
217,21.700000000000003,0.5,-0.23578338037587665,-5.271780575011091
218,21.8,0.5,-0.23479239025379478,-5.2947141356709135
219,21.900000000000002,0.5,-0.233829392655027,-5.301773529488443
220,22.0,0.5,-0.23289497360293693,-5.29173812314005
221,22.1,0.5,-0.2319000008573877,-5.266343129552174
222,22.200000000000003,0.5,-0.23085912389356558,-5.229979573822437
223,22.3,0.5,-0.23080185916392876,-5.188935045089039
224,22.400000000000002,0.5,-0.23182290228471744,-5.150306515247825
225,22.5,0.5,-0.2337457056244617,-5.120773208037518
226,22.6,0.5,-0.2362377990175999,-5.105441700576449
227,22.700000000000003,0.5,-0.2388682768765006,-5.106962949787015
228,22.8,0.5,-0.23996354394202973,-5.125073917860589
229,22.900000000000002,0.5,-0.23888963385123044,-5.156643053884274
230,23.0,0.5,-0.23783437741173255,-5.196211767442977
231,23.1,0.5,-0.23679945534477734,-5.236938268491919
232,23.200000000000003,0.5,-0.23578338037587665,-5.271780575011093
233,23.3,0.5,-0.23479239025379478,-5.294714135670912
234,23.400000000000002,0.5,-0.23382939265502697,-5.301773529488443
235,23.5,0.5,-0.23289497360293693,-5.29173812314005
236,23.6,0.5,-0.2319000008573877,-5.266343129552176
237,23.700000000000003,0.5,-0.23085912389356558,-5.229979573822437
238,23.8,0.5,-0.23080185916392876,-5.188935045089041
239,23.900000000000002,0.5,-0.23182290228471744,-5.150306515247825
240,24.0,0.5,-0.2337457056244617,-5.120773208037518
241,24.1,0.5,-0.2362377990175999,-5.105441700576449
242,24.200000000000003,0.5,-0.2388682768765006,-5.106962949787015
243,24.3,0.5,-0.23996354394202976,-5.125073917860588
244,24.400000000000002,0.5,-0.23888963385123044,-5.156643053884274
245,24.5,0.5,-0.23783437741173255,-5.196211767442975
246,24.6,0.5,-0.23679945534477734,-5.236938268491917
247,24.700000000000003,0.5,-0.23578338037587665,-5.271780575011091
248,24.8,0.5,-0.23479239025379478,-5.2947141356709135
249,24.900000000000002,0.5,-0.233829392655027,-5.301773529488443
