Time (t),Amplitude (h),Frequency (f)
-10.0,0.06852913746087819,10.050840650523256
-9.97997997997998,0.09073099054630375,10.051522872966416
-9.95995995995996,0.10947096923072436,10.052214238076626
-9.93993993993994,0.12396933920105377,10.052914868054241
-9.91991991991992,0.13361028214810478,10.053624886724208
-9.8998998998999,0.13796792202803806,10.05434441955742
-9.87987987987988,0.13682493956475686,10.055073593692363
-9.85985985985986,0.13018296853569894,10.055812537957031
-9.83983983983984,0.11826429063723728,10.056561382891104
-9.81981981981982,0.10150469096616124,10.05732026076845
-9.7997997997998,0.08053768970523884,10.05808930561988
-9.77977977977978,0.056170713345003065,10.058868653256216
-9.75975975975976,0.029354096711512335,10.059658441291628
-9.73973973973974,0.0011441018838732379,10.060458809167322
-9.71971971971972,-0.0273386103192857,10.06126989817546
-9.6996996996997,-0.05495342660647757,10.062091851483451
-9.67967967967968,-0.08058538538397089,10.0629248141585
-9.65965965965966,-0.10319011837336063,10.063768933192499
-9.63963963963964,-0.12183632116582045,10.06462435752725
-9.61961961961962,-0.1357440288080156,10.065491238079968
-9.5995995995996,-0.1443171269680362,10.066369727769118
-9.57957957957958,-0.1471687478957049,10.067259981540627
-9.55955955955956,-0.1441384750130085,10.068162156394362
-9.53953953953954,-0.13530059997851726,10.06907641141099
-9.51951951951952,-0.12096302898977773,10.070002907779166
-9.4994994994995,-0.10165680702428087,10.070941808823065
-9.47947947947948,-0.07811660490246669,10.071893280030249
-9.45945945945946,-0.05125287942597159,10.072857489079908
-9.43943943943944,-0.02211675665435497,10.073834605871461
-9.41941941941942,0.008141011205771341,10.074824802553486
-9.3993993993994,0.03831541618403726,10.075828253553052
-9.37937937937938,0.06719510660746247,10.076845135605396
-9.35935935935936,0.0936109389092101,10.077875627783992
-9.33933933933934,0.11648322629441725,10.078919911530978
-9.31931931931932,0.1348657780371619,10.07997817068798
-9.2992992992993,0.14798493662511222,10.081050591527333
-9.27927927927928,0.15527200625446735,10.08213736278367
-9.25925925925926,0.1563877184187946,10.083238675685905
-9.23923923923924,0.15123768894096934,10.084354723989655
-9.21921921921922,0.13997817383869757,10.085485704010036
-9.1991991991992,0.12301181508330601,10.086631814654861
-9.17917917917918,0.10097346646100408,10.087793257458284
-9.15915915915916,0.0747065884851184,10.088970236614834
-9.13913913913914,0.04523108363504397,10.090162959013899
-9.11911911911912,0.013703793640856185,10.091371634274605
-9.0990990990991,-0.018626815225432768,10.092596474781178
-9.07907907907908,-0.05047000742861203,10.093837695718694
-9.05905905905906,-0.08054422623416484,10.09509551510931
-9.03903903903904,-0.10762858714359123,10.096370153848916
-9.01901901901902,-0.13061235100547827,10.097661835744258
-8.998998998999,-0.14854037555916888,10.098970787550531
-8.97897897897898,-0.16065268943408767,10.1002972390094
-8.95895895895896,-0.1664165535289341,10.101641422887518
-8.93893893893894,-0.16554966297599158,10.10300357501552
-8.91891891891892,-0.15803348753183308,10.104383934327473
