Scaled Time (t_scaled),Time (s),Mass (Solar Masses),Temperature (K)
0.0,0.0,5.0,1.2362021114388891e-08
0.002004008016032064,1.6534256335296803e+74,4.996657753014763,1.237029002729894e-08
0.004008016032064128,3.3068512670593605e+74,4.993311028803162,1.2378581108887907e-08
0.0060120240480961915,4.960276900589041e+74,4.989959812340924,1.2386894463373978e-08
0.008016032064128256,6.613702534118721e+74,4.986604088522956,1.2395230195676665e-08
0.01002004008016032,8.267128167648401e+74,4.98324384216273,1.2403588411422962e-08
0.012024048096192383,9.920553801178082e+74,4.979879057991683,1.2411969216953559e-08
0.014028056112224447,1.1573979434707762e+75,4.976509720658611,1.2420372719329132e-08
0.01603206412825651,1.3227405068237442e+75,4.973135814729049,1.2428799026336678e-08
0.018036072144288574,1.4880830701767122e+75,4.969757324684644,1.2437248246495942e-08
0.02004008016032064,1.6534256335296803e+75,4.966374234922538,1.2445720489065908e-08
0.022044088176352703,1.818768196882648e+75,4.962986529754725,1.245421586405135e-08
0.024048096192384766,1.9841107602356163e+75,4.959594193407412,1.246273448220948e-08
0.026052104208416832,2.1494533235885845e+75,4.956197210020375,1.2471276455056629e-08
0.028056112224448895,2.3147958869415524e+75,4.9527955636463075,1.2479841894875045e-08
0.03006012024048096,2.4801384502945206e+75,4.949389238250157,1.2488430914719743e-08
0.03206412825651302,2.6454810136474884e+75,4.945978217708466,1.2497043628425413e-08
0.03406813627254509,2.8108235770004567e+75,4.942562485808692,1.2505680150613456e-08
0.03607214428857715,2.9761661403534245e+75,4.939142026248538,1.2514340596699045e-08
0.038076152304609215,3.1415087037063927e+75,4.935716822635264,1.252302508289829e-08
0.04008016032064128,3.3068512670593605e+75,4.932286858484995,1.2531733726235483e-08
0.04208416833667334,3.4721938304123284e+75,4.928852117222021,1.2540466644550416e-08
0.044088176352705406,3.637536393765296e+75,4.925412582178103,1.2549223956505784e-08
0.04609218436873747,3.8028789571182644e+75,4.921968236591741,1.255800578159468e-08
0.04809619238476953,3.968221520471233e+75,4.918519063607478,1.2566812240148148e-08
0.0501002004008016,4.133564083824201e+75,4.915065046275158,1.2575643453342848e-08
0.052104208416833664,4.298906647177169e+75,4.911606167549196,1.2584499543208816e-08
0.05410821643286573,4.464249210530137e+75,4.908142410287846,1.259338063263725e-08
0.05611222444889779,4.629591773883105e+75,4.904673757252443,1.2602286845388462e-08
0.058116232464929855,4.794934337236073e+75,4.9012001911066525,1.2611218306099884e-08
0.06012024048096192,4.960276900589041e+75,4.89772169441571,1.2620175140294146e-08
0.06212424849699398,5.125619463942009e+75,4.894238249645647,1.2629157474387284e-08
0.06412825651302605,5.290962027294977e+75,4.890749839162516,1.2638165435697018e-08
0.06613226452905811,5.456304590647945e+75,4.887256445231603,1.2647199152451132e-08
0.06813627254509018,5.621647154000913e+75,4.8837580500166355,1.2656258753795945e-08
0.07014028056112225,5.7869897173538815e+75,4.8802546355789795,1.2665344369804892e-08
0.0721442885771543,5.952332280706849e+75,4.876746183876834,1.2674456131487182e-08
0.07414829659318636,6.117674844059817e+75,4.873232676764407,1.2683594170796583e-08
0.07615230460921843,6.2830174074127854e+75,4.869714095991094,1.2692758620640281e-08
0.0781563126252505,6.448359970765753e+75,4.866190423200646,1.2701949614887865e-08
0.08016032064128256,6.613702534118721e+75,4.862661639930318,1.2711167288380403e-08
0.08216432865731463,6.779045097471689e+75,4.859127727610026,1.2720411776939625e-08
0.08416833667334668,6.944387660824657e+75,4.855588667561487,1.2729683217377214e-08
0.08617234468937875,7.109730224177625e+75,4.852044440997345,1.2738981747504213e-08
0.08817635270541081,7.275072787530592e+75,4.848495029020293,1.2748307506140534e-08
0.09018036072144288,7.440415350883561e+75,4.844940412622194,1.2757660633124567e-08
0.09218436873747494,7.605757914236529e+75,4.841380572683178,1.276704126932294e-08
0.09418837675350701,7.771100477589498e+75,4.837815489970739,1.277644955664035e-08
0.09619238476953906,7.936443040942465e+75,4.834245145138823,1.2785885638029532e-08
0.09819639278557113,8.101785604295433e+75,4.830669518726898,1.2795349657501358e-08
0.1002004008016032,8.267128167648402e+75,4.82708859115903,1.2804841760135018e-08
0.10220440881763526,8.432470731001369e+75,4.823502342742931,1.2814362092088368e-08
0.10420841683366733,8.597813294354338e+75,4.81991075366901,1.2823910800608374e-08
0.1062124248496994,8.763155857707306e+75,4.816313804009409,1.2833488034041665e-08
0.10821643286573146,8.928498421060275e+75,4.812711473717033,1.2843093941845274e-08
0.11022044088176351,9.09384098441324e+75,4.80910374262456,1.2852728674597418e-08
0.11222444889779558,9.25918354776621e+75,4.8054905904434575,1.2862392384008505e-08
0.11422845691382764,9.424526111119177e+75,4.801871996762967,1.2872085222932186e-08
0.11623246492985971,9.589868674472146e+75,4.798247941049099,1.2881807345376606e-08
0.11823647294589178,9.755211237825113e+75,4.794618402643599,1.289155890651576e-08
0.12024048096192384,9.920553801178082e+75,4.790983360762923,1.2901340062700975e-08
0.1222444889779559,1.008589636453105e+76,4.787342794497175,1.291115097147258e-08
0.12424849699398796,1.0251238927884017e+76,4.783696682809064,1.2920991791571653e-08
0.12625250501002003,1.0416581491236986e+76,4.78004500453282,1.2930862682951977e-08
0.1282565130260521,1.0581924054589954e+76,4.776387738373123,1.2940763806792093e-08
0.13026052104208416,1.0747266617942923e+76,4.772724862904007,1.2950695325507524e-08
0.13226452905811623,1.091260918129589e+76,4.769056356567753,1.2960657402763142e-08
0.1342685370741483,1.1077951744648859e+76,4.765382197673776,1.2970650203485693e-08
0.13627254509018036,1.1243294308001827e+76,4.761702364397492,1.2980673893876484e-08
0.13827655310621242,1.1408636871354796e+76,4.758016834779186,1.2990728641424196e-08
0.1402805611222445,1.1573979434707763e+76,4.754325586722846,1.3000814614917894e-08
0.14228456913827653,1.1739321998060729e+76,4.750628597995006,1.3010931984460181e-08
